"id"	"LIBELLE"	"agr"	"art"	"sup"	"int"	"emp"	"ouv"	"total"	"pagr"	"part"	"psup"	"pint"	"pemp"	"pouv"	"typo"
"60374"	"Maignelay-Montigny"	5	60	50	231	261	371	978	0.511247443762781	6.13496932515337	5.11247443762781	23.6196319018405	26.6871165644172	37.9345603271984	"ouv"
"60375"	"Maimbeville"	5	10	25	75	45	30	190	2.63157894736842	5.26315789473684	13.1578947368421	39.4736842105263	23.6842105263158	15.7894736842105	"int"
"60376"	"Maisoncelle-Saint-Pierre"	4	0	12	28	12	4	60	6.66666666666667	0	20	46.6666666666667	20	6.66666666666667	"int"
"60377"	"Maisoncelle-Tuilerie"	0	5	35	30	25	30	125	0	4	28	24	20	24	"sup"
"60378"	"Marest-Sur-Matz"	4	4	45	32	53	28	166	2.40963855421687	2.40963855421687	27.1084337349398	19.2771084337349	31.9277108433735	16.8674698795181	"emp"
"60379"	"Mareuil-La-Motte"	5	10	30	85	55	85	270	1.85185185185185	3.7037037037037	11.1111111111111	31.4814814814815	20.3703703703704	31.4814814814815	"int"
"60380"	"Mareuil-Sur-Ourcq"	0	28	40	201	193	161	623	0	4.49438202247191	6.42054574638844	32.2632423756019	30.9791332263242	25.8426966292135	"int"
"60381"	"Margny-Aux-Cerises"	0	0	10	44	29	20	103	0	0	9.70873786407767	42.7184466019417	28.1553398058252	19.4174757281553	"int"
"60382"	"Margny-Lès-Compiègne"	0	111	826	852	844	544	3177	0	3.49386213408876	25.9993704752912	26.8177525967894	26.5659427132515	17.1230720805792	"int"
"60383"	"Margny-Sur-Matz"	0	10	35	55	60	50	210	0	4.76190476190476	16.6666666666667	26.1904761904762	28.5714285714286	23.8095238095238	"emp"
"60385"	"Marolles"	8	4	8	28	98	98	244	3.27868852459016	1.63934426229508	3.27868852459016	11.4754098360656	40.1639344262295	40.1639344262295	"emp"
"60386"	"Marquéglise"	8	8	45	41	89	37	228	3.50877192982456	3.50877192982456	19.7368421052632	17.9824561403509	39.0350877192982	16.2280701754386	"emp"
"60387"	"Marseille-En-Beauvaisis"	0	9	43	103	120	176	451	0	1.99556541019956	9.53436807095344	22.8381374722838	26.6075388026608	39.0243902439024	"ouv"
"60388"	"Martincourt"	0	0	10	26	10	5	51	0	0	19.6078431372549	50.9803921568627	19.6078431372549	9.80392156862745	"int"
"60389"	"Maucourt"	0	12	0	16	44	28	100	0	12	0	16	44	28	"emp"
"60390"	"Maulers"	0	5	20	45	30	35	135	0	3.7037037037037	14.8148148148148	33.3333333333333	22.2222222222222	25.9259259259259	"int"
"60391"	"Maysel"	0	0	20	30	25	10	85	0	0	23.5294117647059	35.2941176470588	29.4117647058824	11.7647058823529	"int"
"60392"	"Mélicocq"	5	10	35	80	70	80	280	1.78571428571429	3.57142857142857	12.5	28.5714285714286	25	28.5714285714286	"int"
"60393"	"Mello"	0	5	56	92	86	51	290	0	1.72413793103448	19.3103448275862	31.7241379310345	29.6551724137931	17.5862068965517	"int"
"60394"	"Ménévillers"	0	0	0	20	8	32	60	0	0	0	33.3333333333333	13.3333333333333	53.3333333333333	"ouv"
"60395"	"Méru"	6	167	376	1140	1594	1495	4778	0.125575554625366	3.49518627040603	7.86940142318962	23.8593553788196	33.361239012139	31.2892423608204	"emp"
"60396"	"Méry-La-Bataille"	8	21	4	45	66	87	231	3.46320346320346	9.09090909090909	1.73160173160173	19.4805194805195	28.5714285714286	37.6623376623377	"ouv"
"60397"	"Mesnil-Conteville"	0	4	4	8	8	8	32	0	12.5	12.5	25	25	25	"int"
"60398"	"Mesnil-En-Thelle"	0	31	92	316	295	173	907	0	3.41786108048512	10.1433296582139	34.8401323042999	32.5248070562293	19.0738699007718	"int"
"60399"	"Mesnil-Saint-Firmin"	0	5	0	20	9	19	53	0	9.43396226415094	0	37.7358490566038	16.9811320754717	35.8490566037736	"int"
"60400"	"Mesnil-Sur-Bulles"	5	10	5	40	40	10	110	4.54545454545455	9.09090909090909	4.54545454545455	36.3636363636364	36.3636363636364	9.09090909090909	"int"
"60401"	"Mesnil-Théribus"	0	5	35	86	91	101	318	0	1.57232704402516	11.0062893081761	27.0440251572327	28.6163522012579	31.7610062893082	"ouv"
"60402"	"Meux"	5	38	181	290	205	171	890	0.561797752808989	4.26966292134831	20.3370786516854	32.5842696629214	23.0337078651685	19.2134831460674	"int"
"60403"	"Milly-Sur-Thérain"	4	36	67	147	167	190	611	0.654664484451719	5.89198036006547	10.9656301145663	24.0589198036007	27.3322422258593	31.0965630114566	"ouv"
"60404"	"Mogneville"	5	40	84	238	179	95	641	0.78003120124805	6.2402496099844	13.1045241809672	37.1294851794072	27.9251170046802	14.8205928237129	"int"
"60405"	"Moliens"	0	25	12	41	83	227	388	0	6.44329896907216	3.09278350515464	10.5670103092784	21.3917525773196	58.5051546391753	"ouv"
"60406"	"Monceaux"	0	34	43	106	72	63	318	0	10.6918238993711	13.5220125786164	33.3333333333333	22.6415094339623	19.811320754717	"int"
"60407"	"Monceaux-L'abbaye"	0	0	0	15	30	30	75	0	0	0	20	40	40	"emp"
"60408"	"Monchy-Humières"	0	24	80	104	47	52	307	0	7.81758957654723	26.0586319218241	33.8762214983713	15.3094462540717	16.9381107491857	"int"
"60409"	"Monchy-Saint-Éloi"	0	15	99	209	213	218	754	0	1.9893899204244	13.1299734748011	27.7188328912467	28.2493368700265	28.9124668435013	"ouv"
"60410"	"Mondescourt"	0	10	5	31	21	46	113	0	8.84955752212389	4.42477876106195	27.4336283185841	18.5840707964602	40.7079646017699	"ouv"
"60411"	"Monneville"	5	15	35	120	80	45	300	1.66666666666667	5	11.6666666666667	40	26.6666666666667	15	"int"
