CODGEO;Libellé commune ou ARM;Région;Département;Population en 2012;Population en 2007;Superficie;Naissances entre 2007 et 2012;Décès entre 2007 et 2012;Ménages en 2012;Nombre de naissances domiciliées en 2013;Nombre de décès domiciliés en 2013;Logements en 2012;Résidences principales en 2012;Rés secondaires et logts occasionnels en 2012;Logements vacants en 2012;Rés princ occupées Propriétaires en 2012;Nombre de ménages fiscaux en 2012;Part des ménages fiscaux imposés  en 2012;Médiane du revenu disponible par UC en 2012;Taux de pauvreté en 2012;Emplois au LT en 2012;Emplois salariés au LT en 2012;Emplois au LT en 2007;Pop 15-64 ans en 2012;Chômeurs 15-64 ans en 2012;Actifs 15-64 ans en 2012;Total des ets actifs au 31 décembre 2012;Ets actifs agriculture au 31/12/2012;Ets actifs industrie au 31/12/2012;Ets actifs construction au 31/12/2012;Ets actifs commerce services au 31/12/2012;Ets actifs commerce réparation auto au 31/12/2012;Ets actifs adm publique au 31/12/2012;Ets actifs de 1 à 9 salariés au 31 décembre 2012;Ets actifs 10 salariés ou plus au 31 décembre 2012;coordonnees;Métropole
59434;Nivelle;31;59;1286.0;1240.0;5.92;55.0;29.0;489.098373354;14.0;14.0;519.876151132;489.098373354;3.32732732733;27.4504504505;415.384972889;480.0;;21968.5;;153.053335615;109.356698765;122.033950433;878.584043377;77.697908598;638.51742835;77.0;16.0;4.0;8.0;43.0;9.0;6.0;14.0;2.0;50.4681563003, 3.46013569739;
59455;Paillencourt;31;59;1001.0;986.0;7.56;65.0;36.0;393.0;10.0;6.0;425.0;393.0;1.0;31.0;312.0;373.0;;18604.4;;167.142094937;133.291895337;175.353192744;631.0;52.0;443.0;50.0;5.0;5.0;5.0;27.0;9.0;8.0;9.0;3.0;50.2487376852, 3.26355890022;
59459;Petite-Forêt;31;59;4892.0;4928.0;4.55;323.0;188.0;1899.60874338;58.0;39.0;1973.0228848;1899.60874338;3.67070707071;69.7434343434;1349.45439104;1863.0;60.5051047824;17996.0;16.14907;4746.99390879;4565.20356822;4755.47667624;3221.30045542;364.006810535;2217.76915481;342.0;2.0;18.0;23.0;260.0;117.0;39.0;111.0;59.0;50.3747760096, 3.47594179576;
59475;Prouvy;31;59;2269.0;2386.0;4.41;142.0;90.0;834.0;27.0;19.0;892.872432432;834.0;2.99351351351;55.8789189189;559.333753824;853.0;60.1645123384;17672.7222222;17.06626;2328.96943268;2221.20946455;2343.08779643;1520.95061;144.164205873;1041.12780818;254.0;7.0;32.0;22.0;173.0;63.0;20.0;65.0;47.0;50.3241135233, 3.45729001727;
59501;Rieulay;31;59;1359.0;1421.0;7.29;68.0;120.0;516.967742041;11.0;24.0;539.786582621;516.967742041;6.00495804729;16.8138825324;401.757788101;504.0;;18103.3333333;;248.924965959;201.735610452;281.009607235;809.454280752;74.8372350384;577.049721056;88.0;11.0;4.0;9.0;51.0;7.0;13.0;17.0;4.0;50.3871460601, 3.2654482403;
59543;Saint-Remy-du-Nord;31;59;1173.0;1233.0;5.91;74.0;77.0;450.846938776;13.0;7.0;489.226938776;450.846938776;0.0;38.38;371.051020408;453.0;;18432.5;;288.413651003;261.524722178;325.61765806;794.966836735;133.658163265;484.760204082;59.0;8.0;9.0;4.0;30.0;7.0;8.0;15.0;6.0;50.2280842932, 3.90173812805;
59579;Steene;31;59;1309.0;1229.0;10.28;77.0;52.0;490.258477769;10.0;7.0;511.263369454;490.258477769;3.15073375262;17.8541579315;401.479276564;502.0;;21047.3333333;;120.623534178;87.4686623144;139.838238285;850.307460437;65.1047475509;650.06103994;74.0;16.0;4.0;7.0;37.0;5.0;10.0;15.0;1.0;50.9531939911, 2.37222398651;
59596;Tilloy-lez-Marchiennes;31;59;567.0;520.0;5.5;30.0;14.0;184.957219251;5.0;0.0;194.097844251;184.957219251;2.03125;7.109375;176.871657754;182.0;;25452.6666667;;57.8992524115;40.7284608823;72.3098307176;363.85026738;18.192513369;281.983957219;46.0;7.0;4.0;4.0;24.0;5.0;7.0;8.0;2.0;50.4251780134, 3.32276515057;
59620;Villers-au-Tertre;31;59;611.0;599.0;4.57;44.0;20.0;238.169407895;8.0;2.0;257.46744711;238.169407895;3.04705882353;16.2509803922;207.016447368;230.0;;20436.0;;28.9756104277;19.9525236973;29.7966474519;423.077302632;27.1332236842;306.504934211;23.0;3.0;0.0;1.0;13.0;3.0;6.0;4.0;0.0;50.3020721089, 3.17587411198;
59213;Estourmel;31;59;447.0;449.0;5.45;27.0;17.0;177.61589404;2.0;5.0;188.558602373;177.61589404;4.97395833333;5.96875;161.82781457;178.0;;22453.0;;33.4828406153;20.664460178;48.2507615936;298.0;9.86754966887;207.218543046;41.0;11.0;0.0;3.0;22.0;10.0;5.0;7.0;0.0;50.1518286613, 3.32132515587;
59274;La Groise;31;59;486.0;457.0;9.38;36.0;19.0;191.0;13.0;6.0;208.0;191.0;6.0;11.0;144.0;182.0;;15248.2608696;;55.9081306279;33.9475571512;49.0216664649;313.0;22.0;222.0;27.0;8.0;2.0;5.0;9.0;2.0;3.0;11.0;0.0;50.0763719216, 3.6815589114;
59287;Haucourt-en-Cambrésis;31;59;214.0;199.0;3.57;9.0;4.0;86.0;3.0;2.0;91.0;86.0;2.0;3.0;72.0;86.0;;19665.2173913;;14.9915770763;4.00482210945;15.0590331854;141.0;14.0;112.0;16.0;3.0;0.0;2.0;7.0;2.0;4.0;1.0;0.0;50.1068286942, 3.34360726309;
59313;Hordain;31;59;1458.0;1472.0;5.66;93.0;58.0;580.813096862;13.0;11.0;605.853484584;580.813096862;2.00323101777;23.0371567044;388.866302865;582.0;;18542.8;;665.954704487;620.212345958;774.52196522;926.914051842;58.6780354707;659.381991814;81.0;7.0;9.0;6.0;46.0;16.0;13.0;27.0;10.0;50.2597936195, 3.32675271349;
59317;Houplines;31;59;7791.0;7570.0;11.32;594.0;306.0;3024.46862203;132.0;59.0;3224.83818725;3024.46862203;6.87542625746;193.49413896;2044.68330272;3006.0;62.3627287854;18848.6666667;15.03398;1929.15343199;1740.74361055;1621.6845738;4936.09725207;482.006210847;3654.00822857;416.0;33.0;23.0;47.0;234.0;67.0;79.0;89.0;27.0;50.6841292085, 2.92646496256;Métropole européenne de Lille
59333;Larouillies;31;59;265.0;277.0;5.4;17.0;12.0;111.259541985;4.0;2.0;118.926208651;111.259541985;1.7037037037;5.96296296296;85.9732824427;107.0;;19196.2820513;;55.4464150709;42.297560109;64.8138385318;153.740458015;6.06870229008;108.22519084;23.0;8.0;3.0;1.0;10.0;1.0;1.0;4.0;2.0;50.0378159159, 3.93206496317;
59348;Lieu-Saint-Amand;31;59;1335.0;1253.0;5.11;69.0;51.0;514.928571429;24.0;13.0;533.044401544;514.928571429;1.06563706564;17.0501930502;424.869047619;525.0;;19157.9166667;;3144.92707684;3066.41132809;4630.02833216;840.202380952;68.869047619;602.869047619;118.0;5.0;10.0;2.0;91.0;20.0;10.0;15.0;15.0;50.2722406252, 3.3493708028;
59406;Monceau-Saint-Waast;31;59;516.0;496.0;5.93;33.0;36.0;187.610307179;3.0;0.0;198.610307179;187.610307179;3.0;8.0;150.289977256;184.0;;19338.0;;115.261964289;95.1104575582;103.904440212;304.510743128;34.2857037557;213.81809694;23.0;9.0;1.0;2.0;6.0;4.0;5.0;9.0;1.0;50.1717846537, 3.85726023625;
59410;Mons-en-Baroeul;31;59;21272.0;22664.0;2.88;1955.0;781.0;8724.34678204;321.0;155.0;9500.29599772;8724.34678204;40.4582859988;735.490929677;3965.75706231;8247.0;56.4024760286;16570.0;24.18107;4864.78887969;4393.37132348;4804.24886497;13958.3865608;1976.17092632;9563.85972552;1088.0;2.0;30.0;79.0;775.0;191.0;202.0;200.0;71.0;50.6432478699, 3.1087677878;Métropole européenne de Lille
59413;Montigny-en-Cambrésis;31;59;582.0;588.0;5.87;26.0;27.0;249.28668942;6.0;5.0;270.28668942;249.28668942;4.0;17.0;196.648464164;247.0;;18226.6666667;;124.359084338;99.5059965782;138.448583737;372.440273038;35.7542662116;258.225255973;40.0;7.0;3.0;3.0;21.0;4.0;6.0;8.0;6.0;50.0910970595, 3.41429656763;
59445;Ohain;31;59;1274.0;1282.0;11.88;55.0;41.0;527.100572363;14.0;13.0;558.507352024;527.100572363;15.3007388092;16.1060408518;398.971381848;485.0;;16507.6;;112.923735695;84.9168193233;78.5813068997;784.400654129;94.7947669665;566.685200327;50.0;6.0;1.0;7.0;29.0;10.0;7.0;16.0;2.0;50.0369176402, 4.12652703676;
59477;Provin;31;59;4183.0;3841.0;3.39;266.0;157.0;1566.99999993;53.0;34.0;1644.17283943;1566.99999993;3.0462962963;74.1265432099;1222.50751003;1594.0;62.9861982434;19185.7142857;9.68273;595.05008626;534.025570547;569.669221116;2732.51795023;208.679715951;1987.04952721;175.0;4.0;16.0;22.0;107.0;26.0;26.0;43.0;9.0;50.5134080019, 2.91117965832;
59487;Radinghem-en-Weppes;31;59;1339.0;1217.0;6.82;59.0;35.0;491.53164557;11.0;6.0;519.001664912;491.53164557;3.05222437137;24.417794971;446.665673864;498.0;;26955.2380952;;279.424661283;223.011000968;240.02533204;909.283693224;25.9225614296;646.069992554;116.0;16.0;4.0;10.0;67.0;15.0;19.0;18.0;4.0;50.6281404058, 2.89866058213;Métropole européenne de Lille
59511;Rosult;31;59;1846.0;1876.0;8.16;103.0;58.0;679.0;18.0;12.0;724.0;679.0;4.0;41.0;594.0;701.0;;22509.3333333;;582.662774273;493.883063357;595.725420194;1254.0;69.0;935.0;153.0;21.0;14.0;16.0;85.0;15.0;17.0;32.0;10.0;50.4521455969, 3.36243705958;
59559;Sebourg;31;59;1939.0;1820.0;14.23;86.0;49.0;730.0;17.0;13.0;800.0;730.0;14.0;56.0;612.0;733.0;;26891.2;;272.100891837;210.116348635;278.132702079;1232.0;61.0;962.0;131.0;22.0;4.0;11.0;75.0;19.0;19.0;18.0;7.0;50.3441268565, 3.64525979429;
59563;Semousies;31;59;246.0;237.0;3.08;15.0;10.0;93.0;1.0;2.0;101.0;93.0;0.0;8.0;77.0;89.0;;21312.0;;47.0041911691;31.9640172973;36.1813562883;153.0;10.0;112.0;19.0;7.0;0.0;1.0;7.0;3.0;4.0;4.0;1.0;50.1639637271, 3.96792099301;
59617;Vieux-Mesnil;31;59;592.0;556.0;5.95;45.0;12.0;219.116883117;4.0;4.0;227.855947974;219.116883117;1.74781297134;6.99125188537;164.337662338;211.0;;20192.0;;40.5911880846;24.2535257469;38.1712667822;384.415584416;29.7922077922;287.350649351;26.0;8.0;0.0;2.0;12.0;3.0;4.0;4.0;0.0;50.2599763963, 3.87105908253;
59629;Vred;31;59;1337.0;1407.0;3.42;75.0;62.0;523.691394659;14.0;12.0;569.084064816;523.691394659;2.01745200698;43.3752181501;480.050445104;543.0;;19306.25;;81.4091514287;58.5837962693;84.5852929928;883.729228487;71.412462908;649.65504451;59.0;3.0;2.0;9.0;39.0;8.0;6.0;10.0;1.0;50.3939409921, 3.23217277359;
59642;Warlaing;31;59;542.0;562.0;3.89;30.0;14.0;190.0;11.0;1.0;207.0;190.0;4.0;13.0;174.0;193.0;;22638.4444444;;43.2735267726;32.4105887406;40.9517555114;356.0;18.0;272.0;25.0;8.0;2.0;2.0;10.0;1.0;3.0;3.0;0.0;50.4093268684, 3.32433906396;
59662;Winnezeele;31;59;1214.0;1228.0;15.54;78.0;40.0;447.0;21.0;7.0;492.0;447.0;18.0;27.0;382.0;439.0;;19530.6666667;;199.351898664;133.382248518;189.03892309;767.0;47.0;571.0;115.0;48.0;1.0;3.0;56.0;10.0;7.0;22.0;3.0;50.8503260936, 2.56373009721;
59162;Crochte;31;59;695.0;676.0;7.83;40.0;14.0;249.218820275;3.0;4.0;271.591216109;249.218820275;6.71171875;15.6606770833;212.759199414;247.0;;23213.7931034;;111.619835378;87.3647456274;140.631513922;476.161966317;30.3941713449;363.703532341;54.0;20.0;3.0;1.0;26.0;4.0;4.0;10.0;1.0;50.9238758959, 2.39595026667;
59166;Curgies;31;59;1100.0;1144.0;6.08;53.0;46.0;442.100694444;14.0;11.0;469.470289981;442.100694444;0.912319851232;26.4572756857;360.9375;468.0;;21818.5714286;;163.227939392;130.543227728;159.003217895;715.190972222;62.0659722222;517.534722222;77.0;7.0;5.0;10.0;48.0;14.0;7.0;14.0;5.0;50.3253821605, 3.60666630753;
59011;Annoeullin;31;59;10335.0;9795.0;9.01;641.0;336.0;3797.0;110.0;84.0;3995.39975093;3797.0;5.08717310087;193.312577833;2517.39357785;3799.0;64.5322793149;19919.6666667;11.83929;2033.20621593;1776.0108387;1786.33523379;7175.15163339;562.007452488;4730.18457436;571.0;15.0;30.0;63.0;350.0;85.0;113.0;143.0;34.0;50.5265153703, 2.92753629479;
59024;Auberchicourt;31;59;4450.0;4570.0;7.12;320.0;244.0;1844.0;58.0;44.0;1979.0;1844.0;10.0;125.0;1030.0;1839.0;50.7340946166;16718.9444444;20.70993;630.805721844;543.834883771;604.491425365;2816.0;362.0;1897.0;153.0;9.0;8.0;16.0;93.0;24.0;27.0;44.0;9.0;50.3299785774, 3.22782402703;
59066;Bérelles;31;59;170.0;158.0;5.78;17.0;5.0;65.9393939394;0.0;1.0;76.0802390098;65.9393939394;5.07042253521;5.07042253521;43.2727272727;62.0;;19896.6666667;;20.4712861864;9.13795285307;23.2797500333;106.121212121;9.27272727273;83.4545454545;11.0;4.0;1.0;1.0;2.0;1.0;3.0;4.0;0.0;50.2136798325, 4.10541703727;
59107;Bray-Dunes;31;59;4609.0;4681.0;8.57;216.0;272.0;2000.0;42.0;53.0;4700.0;2000.0;2502.0;198.0;1502.0;2173.0;64.5161290323;18996.9565217;12.84488;824.762647234;671.699973004;757.121830601;2832.0;316.0;1929.0;312.0;11.0;7.0;24.0;233.0;47.0;37.0;75.0;11.0;51.0730436867, 2.52764870458;
59109;Brillon;31;59;738.0;727.0;2.87;28.0;21.0;280.561983471;7.0;6.0;298.163973521;280.561983471;0.0;17.6019900498;253.115702479;264.0;;23028.75;;291.629010266;251.516652734;156.279812757;490.983471074;36.5950413223;357.818181818;57.0;6.0;3.0;6.0;38.0;11.0;4.0;19.0;7.0;50.4339939197, 3.33534225599;
59115;Brunémont;31;59;694.0;545.0;1.95;50.0;26.0;267.563752669;20.0;4.0;380.241666779;267.563752669;96.1380368098;16.5398773006;205.029695532;256.0;;19217.2222222;;64.0256972591;48.6474383433;37.5987594442;448.98951384;49.2071269276;328.047512851;29.0;6.0;2.0;2.0;17.0;7.0;2.0;5.0;1.0;50.2745061343, 3.14482312096;
59158;Coutiches;31;59;2852.0;2500.0;16.34;186.0;62.0;1048.0;34.0;18.0;1093.0;1048.0;9.0;36.0;879.0;1051.0;71.4149139579;24273.8095238;6.77365;325.354226268;221.321930992;297.437621148;1927.0;99.0;1455.0;218.0;39.0;10.0;28.0;113.0;35.0;28.0;55.0;3.0;50.4501366141, 3.19335565357;
59163;Croix;31;59;20664.0;21006.0;4.44;1563.0;918.0;9080.64433775;312.0;190.0;9834.1665826;9080.64433775;45.8985645959;707.623680254;5157.47523942;8811.0;65.5724670604;19659.0;13.46967;7302.18890106;6637.76221052;7782.16671533;13547.1229406;1422.38678783;9813.31534383;1681.0;5.0;62.0;103.0;1255.0;280.0;256.0;319.0;86.0;50.6740689994, 3.15464041723;Métropole européenne de Lille
59165;Cuincy;31;59;6556.0;6645.0;7.01;420.0;257.0;2705.0;89.0;39.0;2825.21231423;2705.0;5.00884642604;115.203467799;1850.11527077;2708.0;66.0872781065;19740.4761905;12.60398;3974.83096507;3829.73976221;5121.88126286;4277.62562469;395.46177153;3020.01034739;333.0;8.0;26.0;38.0;213.0;54.0;48.0;79.0;46.0;50.3743818914, 3.03412629786;
59211;Esquerchin;31;59;907.0;801.0;5.34;44.0;29.0;328.14182594;12.0;4.0;348.612414176;328.14182594;2.04705882353;18.4235294118;252.021151584;320.0;;21441.3333333;;130.164361318;98.5082711262;125.827424126;607.948673016;29.8022669222;444.85301954;48.0;11.0;1.0;4.0;26.0;4.0;6.0;12.0;1.0;50.3859330394, 3.00649318201;
59312;Honnecourt-sur-Escaut;31;59;760.0;797.0;15.49;51.0;70.0;288.86178458;6.0;22.0;343.267799618;288.86178458;22.1654135338;32.2406015038;221.255834998;272.0;;17404.6666667;;147.804133323;121.186187073;156.548027801;442.343810137;33.8029747913;290.910449719;54.0;19.0;4.0;1.0;23.0;6.0;7.0;10.0;4.0;50.0343460681, 3.20211189134;
59335;Lecelles;31;59;2684.0;2733.0;16.24;139.0;89.0;1041.01344965;26.0;30.0;1125.18026825;1041.01344965;12.2940296826;71.8727889136;902.471828426;1058.0;70.2651515152;22659.3333333;8.69488;317.60818138;224.96105964;300.412039289;1743.478008;111.223555071;1245.89894584;196.0;40.0;13.0;18.0;109.0;30.0;16.0;42.0;4.0;50.474778936, 3.39878461837;
59493;Ramousies;31;59;236.0;239.0;9.6;12.0;7.0;97.8290598291;7.0;3.0;117.598756799;97.8290598291;6.5898989899;13.1797979798;75.641025641;95.0;;16207.5;;26.1620606017;10.0253084649;42.9132277676;151.282051282;13.1111111111;123.042735043;30.0;15.0;0.0;6.0;8.0;0.0;1.0;7.0;0.0;50.1164251073, 4.03401363601;
59515;Rouvignies;31;59;683.0;709.0;3.25;32.0;20.0;238.376327769;6.0;3.0;258.202414726;238.376327769;6.26086956522;13.5652173913;176.191198786;243.0;;17846.9166667;;1201.87346948;1167.27640381;867.380317292;462.242792109;33.1654021244;300.561456753;119.0;4.0;21.0;4.0;82.0;24.0;8.0;38.0;37.0;50.333483649, 3.44055794538;
59569;Sin-le-Noble;31;59;15865.0;16746.0;11.53;1320.0;763.0;6394.12769095;264.0;163.0;6989.16043052;6394.12769095;0.0;595.03273956;3445.47409374;6356.0;49.5275590551;15897.1111111;25.33561;3689.61690534;3342.517865;3884.63484268;10116.3988713;1405.5022109;6626.43724519;714.0;13.0;37.0;73.0;475.0;175.0;116.0;179.0;65.0;50.3677512577, 3.12071297192;
59597;Tilloy-lez-Cambrai;31;59;558.0;610.0;3.32;22.0;24.0;241.491712707;5.0;3.0;256.506091792;241.491712707;0.0;15.014379085;210.662983425;236.0;;22907.6666667;;444.936633651;421.83911264;352.733713221;369.944751381;25.6906077348;244.574585635;46.0;2.0;8.0;6.0;27.0;8.0;3.0;18.0;6.0;50.2010948825, 3.21429536974;
59009;Villeneuve-d'Ascq;31;59;62308.0;61630.0;27.46;4550.0;1549.0;24730.205763;864.0;327.0;25613.5928278;24730.205763;40.5833215517;842.803743259;10235.6232794;22703.0;62.0315668812;18777.1428571;17.9967;51653.0965591;48947.2192242;46293.5876308;44052.8297291;4874.25030723;29590.657486;5910.0;32.0;222.0;402.0;4263.0;1035.0;991.0;1398.0;653.0;50.6324372393, 3.1535257221;Métropole européenne de Lille
59093;Boulogne-sur-Helpe;31;59;326.0;329.0;8.7;18.0;20.0;129.396923077;7.0;1.0;149.66903192;129.396923077;7.09523809524;13.1768707483;98.3015384615;127.0;;19715.3333333;;91.7640441051;67.6987257398;96.1741323476;203.624615385;15.0461538462;158.486153846;41.0;16.0;3.0;2.0;11.0;0.0;9.0;7.0;1.0;50.0790302636, 3.89209548407;
59119;Buysscheure;31;59;528.0;505.0;6.15;39.0;24.0;199.14893617;5.0;0.0;220.716503738;199.14893617;6.16216216216;15.4054054054;165.446808511;203.0;;18402.6666667;;55.0358462184;37.6741440908;60.2307565021;343.14893617;24.5106382979;227.744680851;48.0;15.0;2.0;5.0;24.0;2.0;2.0;9.0;0.0;50.806582613, 2.33507855755;
59128;Capinghem;31;59;1670.0;1606.0;1.86;79.0;42.0;643.368731563;15.0;17.0;670.162989937;643.368731563;0.0;26.7942583732;521.197640118;663.0;;25203.0684755;;730.405718094;674.863263048;772.020033143;1100.52507375;68.9675516224;810.861356932;157.0;2.0;3.0;15.0;113.0;36.0;24.0;47.0;10.0;50.6474745374, 2.96473852343;Métropole européenne de Lille
